kind,path,dataset,method,budget,seed,learner,accuracy,auroc,backend,log_loss,train_rows,train_seconds
downstream,adult\full_data\budget_25\seed_2\catboost\metrics.json,adult,full_data,budget_25,seed_2,catboost,0.87125,0.9224806228480688,sklearn_hist_gradient_boosting,0.2865471550945297,12000,2.035730599999624
downstream,adult\full_data\budget_25\seed_2\lightgbm\metrics.json,adult,full_data,budget_25,seed_2,lightgbm,0.86675,0.920137751392296,lightgbm,0.2932377069747456,12000,0.2664721000001009
downstream,adult\full_data\budget_25\seed_2\mlp\metrics.json,adult,full_data,budget_25,seed_2,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,12000,4.651320400000259
downstream,adult\full_data\budget_25\seed_2\random_forest\metrics.json,adult,full_data,budget_25,seed_2,random_forest,0.86175,0.9138572647948476,sklearn_random_forest,0.3043994468413438,12000,4.01788039999974
downstream,adult\full_data\budget_25\seed_2\xgboost\metrics.json,adult,full_data,budget_25,seed_2,xgboost,0.859,0.9154183105965256,xgboost,0.3031570742037412,12000,0.2843724000003931
downstream,adult\full_data\budget_50\seed_0\catboost\metrics.json,adult,full_data,budget_50,seed_0,catboost,0.87125,0.9224806228480688,sklearn_hist_gradient_boosting,0.2865471550945297,12000,2.364639499999612
downstream,adult\full_data\budget_50\seed_0\lightgbm\metrics.json,adult,full_data,budget_50,seed_0,lightgbm,0.86675,0.920137751392296,lightgbm,0.2932377069747456,12000,0.2382780999996612
downstream,adult\full_data\budget_50\seed_0\mlp\metrics.json,adult,full_data,budget_50,seed_0,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,12000,3.5180722000004607
downstream,adult\full_data\budget_50\seed_0\random_forest\metrics.json,adult,full_data,budget_50,seed_0,random_forest,0.86175,0.9138572647948476,sklearn_random_forest,0.3043994468413438,12000,4.527165200000127
downstream,adult\full_data\budget_50\seed_0\xgboost\metrics.json,adult,full_data,budget_50,seed_0,xgboost,0.859,0.9154183105965256,xgboost,0.3031570742037412,12000,0.2503216999994038
downstream,adult\full_data\budget_50\seed_1\catboost\metrics.json,adult,full_data,budget_50,seed_1,catboost,0.87125,0.9224806228480688,sklearn_hist_gradient_boosting,0.2865471550945297,12000,3.8682947000006607
